Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,111,107,105,114,113,101,112,111,103,86,126,107
2015,111,130,110,109,109,113,125,116,116,112,70,111
2016,111,94,89,84,114,90,80,79,102,85,82,81
2017,88,70,86,102,110,112,98,120,106,91,97,125
2018,128,129,130,177,128,133,148,146,121,143,135,130
2019,143,138,152,114,129,130,151,128,178,148,143,141
2020,130,138,121,118,93,106,79,86,110,126,109,123
2021,169,111,107,127,152,174,202,220,201,205,216,245
2022,233,259,262,273,247,254,238,200,218,211,221,81
2023,100,154,145,148,157,156,156,148,99,100,147,143
2024,152,137,144,95,128,107,115,135,121,188,122,106
